package_name,class_name,method_name,type,Harmony API Package Name,Harmony API Class Name,Harmony API Methods,Harmony API Type
java.lang.invoke,MethodHandle,asType,class,,,,
java.lang.invoke,MethodHandle,asVarargsCollector,class,,,,
java.lang.invoke,MethodHandle,bindTo,class,,,,
java.lang.invoke,MethodHandle,invoke,class,,,,
java.lang.invoke,MethodHandle,invokeExact,class,,,,
java.lang.invoke,MethodHandle,invokeWithArguments,class,,,,
java.lang.invoke,MethodHandle,invokeWithArguments,class,,,,
java.lang.invoke,MethodHandle,isVarargsCollector,class,,,,
java.lang.invoke,MethodHandle,toString,class,,,,
java.lang.invoke,MethodHandle,type,class,,,,
android.mtp,MtpObjectInfo$Builder,build,class,,,,
android.mtp,MtpObjectInfo$Builder,setAssociationDesc,class,,,,
android.mtp,MtpObjectInfo$Builder,setAssociationType,class,,,,
android.mtp,MtpObjectInfo$Builder,setCompressedSize,class,,,,
android.mtp,MtpObjectInfo$Builder,setDateCreated,class,,,,
android.mtp,MtpObjectInfo$Builder,setDateModified,class,,,,
android.mtp,MtpObjectInfo$Builder,setFormat,class,,,,
android.mtp,MtpObjectInfo$Builder,setImagePixDepth,class,,,,
android.mtp,MtpObjectInfo$Builder,setImagePixHeight,class,,,,
android.mtp,MtpObjectInfo$Builder,setImagePixWidth,class,,,,
android.mtp,MtpObjectInfo$Builder,setKeywords,class,,,,
android.mtp,MtpObjectInfo$Builder,setName,class,,,,
android.mtp,MtpObjectInfo$Builder,setObjectHandle,class,,,,
android.mtp,MtpObjectInfo$Builder,setParent,class,,,,
android.mtp,MtpObjectInfo$Builder,setProtectionStatus,class,,,,
android.mtp,MtpObjectInfo$Builder,setSequenceNumber,class,,,,
android.mtp,MtpObjectInfo$Builder,setStorageId,class,,,,
android.mtp,MtpObjectInfo$Builder,setThumbCompressedSize,class,,,,
android.mtp,MtpObjectInfo$Builder,setThumbFormat,class,,,,
android.mtp,MtpObjectInfo$Builder,setThumbPixHeight,class,,,,
android.mtp,MtpObjectInfo$Builder,setThumbPixWidth,class,,,,
android.telephony.ims,ImsMmTelManager$CapabilityCallback,onCapabilitiesStatusChanged,class,,,,
android.text.style,TtsSpan$SemioticClassBuilder,setAnimacy,class,,,,
android.text.style,TtsSpan$SemioticClassBuilder,setCase,class,,,,
android.text.style,TtsSpan$SemioticClassBuilder,setGender,class,,,,
android.text.style,TtsSpan$SemioticClassBuilder,setMultiplicity,class,,,,
android.accounts,AccountAuthenticatorResponse,describeContents,class,,,,
android.accounts,AccountAuthenticatorResponse,onError,class,,,,
android.accounts,AccountAuthenticatorResponse,onRequestContinued,class,,,,
android.accounts,AccountAuthenticatorResponse,onResult,class,,,,
android.accounts,AccountAuthenticatorResponse,writeToParcel,class,,,,
android.media,VolumeShaper$Configuration$Builder,build,class,,,,
android.media,VolumeShaper$Configuration$Builder,invertVolumes,class,,,,
android.media,VolumeShaper$Configuration$Builder,reflectTimes,class,,,,
android.media,VolumeShaper$Configuration$Builder,scaleToEndVolume,class,,,,
android.media,VolumeShaper$Configuration$Builder,scaleToStartVolume,class,,,,
android.media,VolumeShaper$Configuration$Builder,setCurve,class,,,,
android.media,VolumeShaper$Configuration$Builder,setDuration,class,,,,
android.media,VolumeShaper$Configuration$Builder,setInterpolatorType,class,,,,
android.os,DeadSystemException,,class,,,,
android.media,ExifInterface,isSupportedMimeType,class,,,,
